RAM	URAM	SWAP	USWAP	DISK	UDISK	CPU	
4.04	0.83	4.88	0.00	100.56	7.33	0.57	
4.04	0.85	4.88	0.00	100.56	7.33	1.01	
4.04	0.85	4.88	0.00	100.56	7.33	1.01	
4.04	0.85	4.88	0.00	100.56	7.33	0.93	
4.04	0.85	4.88	0.00	100.56	7.33	0.93	
4.04	0.85	4.88	0.00	100.56	7.33	0.93	
4.04	0.85	4.88	0.00	100.56	7.33	0.94	
4.04	0.85	4.88	0.00	100.56	7.33	0.94	
4.04	0.85	4.88	0.00	100.56	7.33	0.94	
4.04	0.85	4.88	0.00	100.56	7.33	0.94	
4.04	0.85	4.88	0.00	100.56	7.33	0.95	
4.04	0.85	4.88	0.00	100.56	7.33	0.95	
4.04	0.86	4.88	0.00	100.56	7.33	0.95	
4.04	0.86	4.88	0.00	100.56	7.33	0.95	
4.04	0.86	4.88	0.00	100.56	7.33	1.36	
4.04	0.86	4.88	0.00	100.56	7.33	1.36	
4.04	0.86	4.88	0.00	100.56	7.33	1.33	
4.04	0.86	4.88	0.00	100.56	7.33	1.33	
4.04	0.86	4.88	0.00	100.56	7.33	1.30	
4.04	0.86	4.88	0.00	100.56	7.33	1.30	
4.04	0.86	4.88	0.00	100.56	7.33	1.28	
4.04	0.86	4.88	0.00	100.56	7.33	1.28	
4.04	0.86	4.88	0.00	100.56	7.33	1.25	
4.04	0.86	4.88	0.00	100.56	7.33	1.25	
4.04	0.86	4.88	0.00	100.56	7.33	1.23	
4.04	0.86	4.88	0.00	100.56	7.33	1.23	
4.04	1.00	4.88	0.00	100.56	7.33	1.62	
4.04	1.19	4.88	0.00	100.56	7.33	1.89	
4.04	1.22	4.88	0.00	100.56	7.33	2.14	
4.04	1.22	4.88	0.00	100.56	7.33	2.53	
4.04	1.26	4.88	0.00	100.56	7.33	2.53	
4.04	1.34	4.88	0.00	100.56	7.33	2.56	
4.04	1.33	4.88	0.00	100.56	7.33	2.60	
4.04	1.36	4.88	0.00	100.56	7.33	3.19	
4.04	1.36	4.88	0.00	100.56	7.33	3.34	
4.04	1.35	4.88	0.00	100.56	7.33	3.34	
4.04	1.32	4.88	0.00	100.56	7.33	3.39	
4.04	1.32	4.88	0.00	100.56	7.33	3.60	
4.04	1.29	4.88	0.00	100.56	7.33	3.60	
4.04	1.29	4.88	0.00	100.56	7.33	3.71	
4.04	1.28	4.88	0.00	100.56	7.33	3.57	
4.04	1.28	4.88	0.00	100.56	7.33	3.57	
4.04	1.34	4.88	0.00	100.56	7.33	3.77	
4.04	1.47	4.88	0.00	100.56	7.33	3.95	
4.04	1.46	4.88	0.00	100.56	7.33	3.95	
4.04	1.41	4.88	0.00	100.56	7.33	4.35	
4.04	1.39	4.88	0.00	100.56	7.33	4.16	
4.04	1.40	4.88	0.00	100.56	7.33	3.99	
4.04	1.39	4.88	0.00	100.56	7.33	3.99	
4.04	1.40	4.88	0.00	100.56	7.33	4.55	
4.04	1.40	4.88	0.00	100.56	7.33	4.59	
4.04	1.37	4.88	0.00	100.56	7.33	4.59	
4.04	1.36	4.88	0.00	100.56	7.33	4.62	
4.04	1.36	4.88	0.00	100.56	7.33	4.49	
4.04	1.37	4.88	0.00	100.56	7.33	4.49	
4.04	1.37	4.88	0.00	100.56	7.33	4.69	
4.04	1.37	4.88	0.00	100.56	7.33	4.69	
4.04	1.38	4.88	0.00	100.56	7.33	4.96	
4.04	0.88	4.88	0.00	100.56	7.33	4.96	
4.04	0.86	4.88	0.00	100.56	7.33	4.80	
4.04	0.86	4.88	0.00	100.56	7.33	4.80	
4.04	0.86	4.88	0.00	100.56	7.33	4.66	
4.04	0.86	4.88	0.00	100.56	7.33	4.66	
4.04	0.86	4.88	0.00	100.56	7.33	4.02	
4.04	0.86	4.88	0.00	100.56	7.33	4.02	
4.04	0.86	4.88	0.00	100.56	7.33	3.77	
4.04	0.97	4.88	0.00	100.56	7.33	3.77	
4.04	1.13	4.88	0.00	100.56	7.33	3.79	
4.04	1.15	4.88	0.00	100.56	7.33	3.79	
4.04	1.13	4.88	0.00	100.56	7.33	3.65	
4.04	1.11	4.88	0.00	100.56	7.33	3.65	
4.04	1.10	4.88	0.00	100.56	7.33	3.60	
4.04	1.10	4.88	0.00	100.56	7.33	3.39	
4.04	1.10	4.88	0.00	100.56	7.33	3.39	
4.04	1.11	4.88	0.00	100.56	7.33	3.28	
4.04	1.14	4.88	0.00	100.56	7.33	3.28	
4.04	1.14	4.88	0.00	100.56	7.33	3.58	
4.04	1.16	4.88	0.00	100.56	7.33	3.58	
4.04	1.15	4.88	0.00	100.56	7.33	3.53	
4.04	1.14	4.88	0.00	100.56	7.33	3.53	
4.04	1.13	4.88	0.00	100.56	7.33	3.33	
4.04	1.13	4.88	0.00	100.56	7.33	3.33	
4.04	1.14	4.88	0.00	100.56	7.33	3.22	
4.04	1.14	4.88	0.00	100.56	7.33	3.22	
4.04	1.14	4.88	0.00	100.56	7.33	3.04	
4.04	1.14	4.88	0.00	100.56	7.33	3.04	
4.04	1.14	4.88	0.00	100.56	7.33	2.88	
4.04	1.14	4.88	0.00	100.56	7.33	2.88	
4.04	1.14	4.88	0.00	100.56	7.33	2.73	
4.04	1.14	4.88	0.00	100.56	7.33	2.51	
4.04	1.14	4.88	0.00	100.56	7.33	2.51	
4.04	1.14	4.88	0.00	100.56	7.33	2.39	
4.04	1.14	4.88	0.00	100.56	7.33	2.39	
4.04	1.14	4.88	0.00	100.56	7.33	2.36	
4.04	1.13	4.88	0.00	100.56	7.33	2.17	
4.04	1.11	4.88	0.00	100.56	7.33	2.17	
4.04	1.11	4.88	0.00	100.56	7.33	2.39	
4.04	1.11	4.88	0.00	100.56	7.33	2.39	
4.04	1.21	4.88	0.00	100.56	7.33	2.60	
4.04	1.18	4.88	0.00	100.56	7.33	2.72	
4.04	1.21	4.88	0.00	100.56	7.33	3.30	
4.04	1.25	4.88	0.00	100.56	7.33	3.30	
4.04	1.20	4.88	0.00	100.56	7.33	3.60	
4.04	1.20	4.88	0.00	100.56	7.33	3.87	
4.04	1.25	4.88	0.00	100.56	7.33	3.87	
4.04	1.35	4.88	0.00	100.56	7.33	3.96	
4.04	1.39	4.88	0.00	100.56	7.33	4.20	
4.04	1.37	4.88	0.00	100.56	7.33	4.51	
4.04	1.37	4.88	0.00	100.56	7.33	4.55	
4.04	1.39	4.88	0.00	100.56	7.33	5.22	
4.04	1.38	4.88	0.00	100.56	7.33	5.22	
4.04	1.35	4.88	0.00	100.56	7.33	4.81	
4.04	1.36	4.88	0.00	100.56	7.33	4.74	
4.04	1.38	4.88	0.00	100.56	7.33	4.76	
4.04	0.87	4.88	0.00	100.56	7.33	4.76	
4.04	0.87	4.88	0.00	100.56	7.33	4.70	
4.04	0.87	4.88	0.00	100.56	7.33	4.70	
4.04	0.87	4.88	0.00	100.56	7.33	4.72	
4.04	0.87	4.88	0.00	100.56	7.33	4.72	
4.04	0.87	4.88	0.00	100.56	7.33	4.43	
4.04	0.87	4.88	0.00	100.56	7.33	4.43	
4.04	0.87	4.88	0.00	100.56	7.33	4.43	
4.04	0.87	4.88	0.00	100.56	7.33	4.15	
4.04	0.87	4.88	0.00	100.56	7.33	4.15	
